"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","ms-DS-Cached-Membership-Time-Stamp","1/15/2016 11:22:46 AM","1/15/2016 11:22:46 AM","CN=ms-DS-Cached-Membership-Time-Stamp,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-PropertyName","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-PropertyName,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Object-Version","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Object-Version,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","OEM-Information","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=OEM-Information,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-Authz-Last-Effective-Security-Policy","1/15/2016 11:23:12 AM","1/15/2016 11:23:12 AM","CN=ms-Authz-Last-Effective-Security-Policy,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-Query","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-Query,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","OM-Object-Class","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=OM-Object-Class,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-Authz-Member-Rules-In-Central-Access-Policy","1/15/2016 11:23:12 AM","1/15/2016 11:23:12 AM","CN=ms-Authz-Member-Rules-In-Central-Access-Policy,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-QueryLanguage","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-QueryLanguage,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","OM-Syntax","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=OM-Syntax,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-RangeParam","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-RangeParam,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","OMT-Guid","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=OMT-Guid,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","OMT-Indx-Guid","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=OMT-Indx-Guid,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-RealRangeParam","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-RealRangeParam,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","OncRpc","1/15/2016 11:23:21 AM","1/15/2016 11:23:21 AM","CN=OncRpc,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-Rule","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-Rule,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","OncRpcNumber","1/15/2016 11:23:08 AM","1/15/2016 11:23:08 AM","CN=OncRpcNumber,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-ScopeGuid","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-ScopeGuid,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","Operating-System","1/15/2016 11:22:59 AM","1/15/2016 11:22:59 AM","CN=Operating-System,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"classSchema","ms-WMI-ShadowObject","1/15/2016 11:23:18 AM","1/15/2016 11:23:18 AM","CN=ms-WMI-ShadowObject,CN=Schema,CN=Configuration,DC=LAB,DC=local"
